Project,Metric,Baseline (mean±std),Proposed (mean±std),p-value,VD-A,Sig.
TensorFlow,Precision,0.996±0.022,0.779±0.043,0.0000,0.000,✓
TensorFlow,Recall,0.063±0.019,0.748±0.049,0.0000,1.000,✓
TensorFlow,F1,0.117±0.034,0.762±0.035,0.0000,1.000,✓
PyTorch,Precision,0.000±0.000,0.631±0.093,0.0000,1.000,✓
PyTorch,Recall,0.000±0.000,0.461±0.102,0.0000,1.000,✓
PyTorch,F1,0.000±0.000,0.528±0.093,0.0000,1.000,✓
Keras,Precision,0.844±0.316,0.720±0.044,0.0068,0.226,✓
Keras,Recall,0.044±0.030,0.695±0.067,0.0000,1.000,✓
Keras,F1,0.082±0.055,0.705±0.041,0.0000,1.000,✓
Mxnet,Precision,0.167±0.373,0.752±0.088,0.0000,0.836,✓
Mxnet,Recall,0.008±0.019,0.557±0.075,0.0000,1.000,✓
Mxnet,F1,0.016±0.035,0.636±0.059,0.0000,1.000,✓
Caffe,Precision,0.000±0.000,0.865±0.150,0.0000,1.000,✓
Caffe,Recall,0.000±0.000,0.367±0.119,0.0000,1.000,✓
Caffe,F1,0.000±0.000,0.503±0.126,0.0000,1.000,✓
